#X Y Z dish_diam station mount
-8.700000 24.500000 435.951266 13.500000 00 ALT-AZ
1.100000 56.500000 388.740097 13.500000 01 ALT-AZ
-33.600000 9.200000 189.746056 13.500000 02 ALT-AZ
-69.500000 29.000000 -300.504966 13.500000 03 ALT-AZ
-129.100000 -16.700000 -320.896612 13.500000 04 ALT-AZ
-106.600000 -43.900000 -183.809848 13.500000 05 ALT-AZ
-19.100000 -55.000000 176.293541 13.500000 06 ALT-AZ
-93.600000 -151.800000 108.732256 13.500000 07 ALT-AZ
-97.700000 -271.100000 404.786574 13.500000 08 ALT-AZ
33.700000 -123.200000 73.874288 13.500000 09 ALT-AZ
91.900000 -250.200000 59.423853 13.500000 10 ALT-AZ
87.600000 -106.100000 -164.161400 13.500000 11 ALT-AZ
146.100000 -120.700000 224.194936 13.500000 12 ALT-AZ
247.100000 -143.400000 115.003731 13.500000 13 ALT-AZ
292.900000 -46.300000 36.300838 13.500000 14 ALT-AZ
219.800000 13.800000 357.530842 13.500000 15 ALT-AZ
300.700000 43.800000 86.903781 13.500000 16 ALT-AZ
208.300000 110.200000 293.167303 13.500000 17 ALT-AZ
110.300000 -10.300000 290.099647 13.500000 18 ALT-AZ
178.200000 -45.800000 -146.357514 13.500000 19 ALT-AZ
101.200000 -58.800000 473.883403 13.500000 20 ALT-AZ
-309.000000 -83.700000 459.748277 13.500000 21 ALT-AZ
-336.500000 83.200000 -360.906814 13.500000 22 ALT-AZ
-389.400000 211.900000 196.169767 13.500000 23 ALT-AZ
-366.500000 346.800000 277.221335 13.500000 24 ALT-AZ
-190.000000 414.900000 -465.073561 13.500000 25 ALT-AZ
-103.400000 226.800000 -157.928432 13.500000 26 ALT-AZ
42.200000 190.600000 -235.850674 13.500000 27 ALT-AZ
-53.500000 132.800000 122.203164 13.500000 28 ALT-AZ
-92.700000 99.500000 -148.330710 13.500000 29 ALT-AZ
178.700000 314.200000 362.352097 13.500000 30 ALT-AZ
257.300000 296.000000 -6.877499 13.500000 31 ALT-AZ
481.400000 369.700000 470.712773 13.500000 32 ALT-AZ
606.000000 990.600000 -91.542136 13.500000 33 ALT-AZ
373.400000 185.900000 -238.275851 13.500000 34 ALT-AZ
403.000000 48.300000 -247.654650 13.500000 35 ALT-AZ
405.200000 -50.800000 -267.479554 13.500000 36 ALT-AZ
396.900000 -202.800000 203.984200 13.500000 37 ALT-AZ
222.600000 -301.800000 18.385371 13.500000 38 ALT-AZ
264.800000 -322.600000 -433.618600 13.500000 39 ALT-AZ
-28.100000 -430.900000 346.463948 13.500000 40 ALT-AZ
-300.200000 -385.300000 276.493491 13.500000 41 ALT-AZ
-377.600000 -203.700000 -414.685800 13.500000 42 ALT-AZ
-657.500000 95.700000 362.779432 13.500000 43 ALT-AZ
-935.400000 753.000000 -220.852257 13.500000 44 ALT-AZ
-1913.100000 452.100000 -342.309881 13.500000 45 ALT-AZ
-1531.400000 1791.500000 -26.274429 13.500000 46 ALT-AZ
-603.700000 -255.100000 -85.163903 13.500000 47 ALT-AZ
-2927.800000 2634.900000 36.900321 13.500000 48 ALT-AZ
-3763.700000 605.600000 -166.764810 13.500000 49 ALT-AZ
-2142.400000 -549.300000 66.351726 13.500000 50 ALT-AZ
-887.600000 -482.400000 375.748508 13.500000 51 ALT-AZ
-619.300000 -824.500000 -73.535121 13.500000 52 ALT-AZ
9.700000 -965.000000 -207.967225 13.500000 53 ALT-AZ
910.100000 -239.300000 375.332876 13.500000 54 ALT-AZ
1254.300000 298.600000 -327.354585 13.500000 55 ALT-AZ
1668.200000 632.400000 -144.292081 13.500000 56 ALT-AZ
307.400000 3151.400000 -422.092862 13.500000 57 ALT-AZ
2927.800000 2634.900000 -368.095187 13.500000 58 ALT-AZ
3847.400000 896.500000 83.132565 13.500000 59 ALT-AZ
3569.900000 -1447.900000 115.693376 13.500000 60 ALT-AZ
-17.200000 -1884.300000 -437.115977 13.500000 61 ALT-AZ
-1504.100000 -2046.500000 -46.767553 13.500000 62 ALT-AZ
-3569.900000 -1447.900000 160.665283 13.500000 63 ALT-AZ
